Candidate;Description;BlockTime;retweet_favorite_count;RunningFor
Ciro Gomes;Abraço, povo de Minas! 😘 #EquipeCiroGomes  #Ciro12 #GazetaEstadaoJP https://t.co/zidKHx7ceg;2018/09/09 20:39:50;;123
PT Brasil;Eugênio Aragão, advogado eleitoral de Lula, concede coletiva de imprensa em Brasília https://t.co/0v8c7DFEuZ;2018/09/05 14:23:42;;123
PSOL 50;É preciso retomar com urgência o investimento público em educação. Para isso, antes de tudo vamos revogar as medidas de Temer! #BoulosNaGlobo #DebateNaGlobo https://t.co/AZrZhY9tRc;2018/10/05 03:16:34;;123
Manuela;Incêndio de grandes proporções atinge o Museu Nacional, no Rio de Janeiro . Que notícia triste para nossa cultura e educação , já tão sacrificados ...;2018/09/02 23:40:00;;123
PT Brasil;Juntos vamos colocar Haddad no Alvorada e Manu no Jaburu. Contribua com nossa vaquinha. #HaddadÉLulaNoSBT https://t.co/vCguOcvleh;2018/09/26 22:20:03;;123
PSTU;FALA VERA | Nós, da classe trabalhadora, precisamos nos organizar para lutar, impedir que qualquer candidato que ganhe essa eleição venha tirar nossa aposentadoria #DebateNaGlobo https://t.co/CtLnichBDy;2018/10/05 02:20:39;;123
Ciro Gomes;Se você acredita que o Brasil precisa mudar, estamos juntos. #Ciro12 #GazetaEstadaoJP;2018/09/09 23:35:16;;123
Kátia Abreu;https://t.co/ozYFrCUvRU;2018/10/02 05:01:06;;123
Jair Bolsonaro 1️⃣7️⃣;01/10/2018: Em live Bolsonaro fala sobre política e questões nacionais. https://t.co/1x1g8uwHsD;2018/10/02 13:53:03;;123
Alvaro Dias;"Alvaro Dias destaca que a valorização da primeira infância - do pré-natal até os 6 anos de idade - será a grande prioridade do seu governo. ""Com isso, vamos reduzir os índices de violência e de corrupção e influenciaremos no crescimento econômico do país"", disse. #DebateNaGlobo";2018/10/05 03:32:06;;123
Jair Bolsonaro 1️⃣7️⃣;Ratinho fala quem é seu candidato ao Senado por São Paulo: @majorolimpio (177). Para ter acesso a nossos candidatos pelo Brasil, acesse: https://t.co/5w4LJxhE3b https://t.co/PDCV1wcCkU;2018/10/06 20:47:38;;123
Henrique Meirelles;@JoseCRAndrade Meirelles não vai desistir! Seu histórico comprova que, além de ficha limpa, ele sempre trabalhou para o Brasil, e quer continuar fazendo isso. Confira aqui sua história e as diferenças com outros candidatos: https://t.co/z6RHxpK5zy. #ChamaOMeirelles #EquipeHM #Meirelles15;2018/09/11 13:09:49;;123
Henrique Meirelles;@guilhermem740 @gui_mangieri Chama que é muito melhor! #ChamaOMeirelles15 #EquipeHM #VoteMeirelles15;2018/09/18 14:01:36;;123
João Amoêdo;"Útil é votar em quem te representa de verdade e vai fazer as mudanças que o Brasil tanto precisa. Vote sem medo. Vote 30. Vote João Amoêdo. Muito obrigado pelo apoio, Marcus. 
#EuVotonoJoão30 https://t.co/pmHtCNZqxk";2018/10/03 15:10:51;;123
Geraldo Alckmin;Não queremos a tragédia de um 2º turno entre dois radicais. Nós vamos ao segundo turno e vencemos tanto Bolsonaro quanto o PT do Haddad. Os brasileiros já têm problemas demais. Não podemos ter um presidente que seja mais um problema. Quero ser presidente para trazer soluções!;2018/10/05 18:43:56;;123
Henrique Meirelles;@JPaulo645 @GuilhermeBoulos Obrigado, João. O Meirelles não foge nem dos debates e nem do trabalho. É por isso que ele é candidato. 💪1⃣5⃣  #VoteMeirelles15 #EquipeHM;2018/10/01 00:02:04;;123
NOVO 30;A lei é igual para todos. Vamos usar todos nossos esforços para que a população tenha um ambiente de segurança e transparência para decidir seu voto. https://t.co/A6JGGmb4G0;2018/09/01 20:27:46;;123
Márcio Pacheco;"CONVÊNIOS DA FIA SÃO ASSUNTO DE NOVA AUDIÊNCIA: 
https://t.co/Z6jv4DnQeD #Alerj #FIA #PcD";2016/04/13 13:25:44;;7
Samuel Malafaia;"Prefeitura do Rio terá menos agentes para fiscalizar os mijões no carnaval

http://t.co/27fAzykJBN http://t.co/v8BrZIWlv4";2015/02/12 18:14:02;;7
Eduardo Lopes;#NoticiaPRB PRB amplia presença no legislativo e elege vereadores em 22 capitais brasileiras: Co... https://t.co/9X8lR7fhwe via @prb10rj;2016/10/03 05:31:45;;7
Arolde de Oliveira;Os defensores do que está aí, essas desgraceiras que devastaram o país, não aceitam @jairbolsonaro porque ele é honesto, independente, humilde, patriota e está preparado para recolocar o Brasil nos trilhos. RT @ATricolinda: @CarlosBolsonaro Estão se borrando, isso sim!;2017/12/26 22:53:11;;7
Pedro Paulo;Tá no Ancelmo! O primeiro trem do VLT já está a caminho do #RJ. #VLT #CidadeOlímpica #Rio2016 http://t.co/kvBhkb2Z6D;2015/06/02 15:42:47;;7
Caio;"Minha entrevista para a TV-Búzios na Bienal do Livro/RJ 

https://t.co/Jl8lFaAzLM https://t.co/XoLoNXUfMC";2017/09/08 14:31:09;;7
Waldeck Carneiro;O Jornal Atual https://t.co/hw81U805uh;2017/12/01 02:09:55;;7
Abelardinho;SÃO OS VOTOS DO SOLIDARIEDADE ITAGUAÍ, representado pelo Presidente Municipal do partido, o vereador Abelardinho... http://t.co/BEV96fPRLn;2013/12/24 22:00:02;;7
Gustavo Tutuca;Os endereços dos meus comitês estão disponíveis em www.gustavotutuca.com.br;2010/07/22 16:19:51;;7
André Corrêa;Sabe aquela história que a Suécia é o “socialismo que deu certo”? Então, é mentira. https://t.co/7i3nog76H4;2017/09/17 21:08:47;;7
Gustavo Tutuca;Hoje é o último dia de inscrições do #VestibularCederj 2016. Ainda dá tempo de se inscrever e começar 2016... https://t.co/DBiWh7pmvx;2015/11/21 19:33:38;;7
Arolde de Oliveira;RT @CarlosBolsonaro: Relembrar a formação de @jairbolsonaro é sempre ... https://t.co/xjRsJoQFpf;2018/01/16 12:27:53;;7
Alair Corrêa;http://t.co/RKdyAQexuP;2014/09/13 21:38:37;;7
AndersonDerson Silva;https://t.co/n3LMXFrxpf;2018/01/05 12:18:11;;7
Rodrigo Maia;rodrigomaia.com.br – VOTE - Para novas regras para o (FGTS) em financiamentos da casa própria -  http://migre.me/10wxX;2010/07/28 14:58:05;;7
Talíria Petrone;"Tá chegando 😍💜

Aqui no Rio já temos a primeira reunião para organizar o 8 de Março: dia 30, às 18h, na Camtra.... https://t.co/0BfNH92vND";2018/01/10 12:57:18;;7
Chico D'Angelo;Vitória: após decisão do STF, Petrobras suspende venda de ativos https://t.co/55kW3fkCIh;2018/07/03 21:13:25;;7
Marcelo Calero;É a decisão da impunidade, da vergonha, do retrocesso. A oligarquia política celebra. STF desarmando todas as garantias contra corrupção. https://t.co/TenSqO2Cj5;2017/10/12 00:26:49;;7
Jandira Feghali;#LULALIVRE maravilhoso aqui na Feira de São Cristóvão! https://t.co/WE8M0fNSXz;2018/07/29 17:54:55;;7
Flavio Serafini;Flavio Serafini reivindica agenda propositiva de audiências públicas na ALERJ contra os ataques do Governo Pezão à educação pública. Confira aqui: https://t.co/xafyteWWwZ;2018/02/07 17:51:38;;7
David Miranda;A cara da velha política. Isso é nepotismo. https://t.co/h1Xn60PYdT;2017/02/02 12:26:46;;7
André Corrêa;@InspetorPM @ClvClaudio Triste vocês não desejarem o diálogo.;2016/02/11 16:48:15;;7
Sgt Gurgel Soares;Uma maldade dessas devia ter prisão perpétua. https://t.co/pJUVDAuC0P;2015/11/12 13:45:53;;7
buiu saquarema;@saquarema_ga HJ TEM FESTA DO LADO DA PREFEITORA D #SAQUAREMA_GA VEMNHA CONFERIR;2011/08/19 16:03:10;;7
Aspásia Camargo;Rio +20: 2º Fórum de Des. Sustentável dos engenheiros e agrônomos. A engenharia  deve estar a serviço da viabilização das metas sustentáveis;2013/03/25 13:24:30;;7
Marcelo Freixo;Bom dia, outubro! Mês das eleições. Faltam 6 dias para confirmar o 5050 nas urnas. Converse com seus amigos que ainda não sabem em quem votar e diga que agora sou candidato a deputado federal. #Freixo5050 #AgoraeÉFederal;2018/10/01 11:03:18;;7
Hugo Leal;Em Cabo Frio, fui recebido pela suplente de vereadora Dra Rafaela Faria e tive a oportunidade de fazer uma prestação de contas do mandato parlamentar: das verbas federais  garantidas através de emendas às iniciativas nas áreas de trânsito, saúde e segurança pública. https://t.co/3xfJTHe4DZ;2018/07/15 16:09:30;;7
Flavio Bolsonaro;"Sobre a morte de Teori, no que é mais difícil acreditar? Na teoria da conspiração ou na teoria da ""foi só coincidência mesmo""?";2017/01/20 12:47:11;;7
Clarissa Garotinho;@ImoveisAlmeida É verdade, Almeida! Mas vai melhorar! Rs!;2013/10/21 14:50:02;;7
Daniela do Waguinho;O estudo “O Mundo das Mulheres”, de 2015, revelou que nós trabalhamos tanto quanto os homens. Então, por que ganhamos menos do que eles? Lutar pela igualdade entre homens e mulheres no mercado de trabalho é também é uma das minhas lutas. https://t.co/QUiJVBp1lv;2018/10/03 13:25:54;;7
Clarissa Garotinho;"""Mas independente de quem seja o próximo presidente, o próximo governador do Rio vai precisar dialogar p/ que a população seja beneficiada""";2013/10/22 22:51:33;;7
Alair Corrêa;DIPLOMAÇÃO http://t.co/b3jIGvGV;2012/12/10 21:11:19;;7
Marcelo Calero;"Imprescindível leitura para aqueles q defendem Temer como um ""mal menor"". Não se relativiza corrupção! Ela é a fonte de todos os males! https://t.co/jFQBbus310";2017/10/18 13:11:22;;7
Benedita da Silva;A imprensa golpista brasileira censura o Papa Francisco ao NÃO divulgar q a Rep. de Curitiba proibiu q um assessor do maior líder mundial entregasse uma mensagem e presente do Papa a Lula. Essa é a Casa Grande c/o seu ódio, cinismo e desrespeito. Charge do querido @DanielPxeira https://t.co/hA7UjBhp9T;2018/06/12 14:05:51;;7
malta junior;@PrSilasFilho Bom dia Pr. Obrigado pela sua presença nos Arrebatados. Foi muito legal!rsrsrrs Paz!;2011/06/27 13:01:32;;7
Glauber Braga;Tarde em Petrópolis junto com o PSOL. Em momentos difíceis, nada melhor do que buscar energias com pessoas especiais. Glauber e Chico Alencar levaram um abraço ao companheiro Yuri que faz aniversário e reforçar o quanto precisamos estar juntos. #EquipeDeComunicaçãoGlauber https://t.co/lcNNvdhWRg;2018/03/24 21:43:00;;7
Rosenverg Reis;"Promessa encontrada em Salmos 23:4 
http://t.co/uUzsMW7Bsc http://t.co/ikDJ1r6zx3";2015/02/06 01:26:49;;7
Sgt Gurgel Soares;https://t.co/qjqhURLbxZ;2016/02/23 13:13:52;;7
malta junior;BOMBA! ESPOSA PR. @PMarcosPereira,RESOLVE FALAR TODA A VERDADE!!!! VIDEO http://t.co/uauVcQTaGc;2013/05/12 13:47:58;;7
Benedita da Silva;O ato hoje em Copacabana pelas DIRETAS JÁ foi lindo. Mais um passo importante rumo ao reencontro com a democracia. https://t.co/jrho3iXtdI;2017/05/29 03:56:47;;7
Hugo Leal;Com vereadores Soraia Balieiro e Reginaldo Engenheiro Passos, do PSB de Resende:emendas e projetos nas áreas de saúde e assistência social https://t.co/Djx1tvXSJb;2017/02/06 21:00:21;;7
Marcelo Freixo;#AoVivo: Ato luto pelo Museu Nacional. https://t.co/qLt465AEMG;2018/09/03 21:31:39;;7
